FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
200000,KOCAELI,KARAMURSEL,HAYRIYE,101849-83,TARLA,4988,UYGUN,MUSTAKIL PARSEL,,HAYIR,KARAMURSEL,38,,,
275000,ESKISEHIR,TEPEBASI,BULDUKPINAR,73617-2356,TARLA,23000,,,,HAYIR,TEPEBASI,,,,
220000,IZMIR,TORBALI,HELVACI,51442-1799,TARLA,7275,,MUSTAKIL PARSEL,,HAYIR,TORBALI,,,,
225000,CANAKKALE,AYVACIK,HAMDIBEY,114881-83,I_K,331,UYGUN,,,EVET,AYVACIK,680,342,8,
750000,IZMIR,DIKILI,YAHSIBEY,63767-799,TARLA,4000,,MUSTAKIL PARSEL,HAYIR,HAYIR,DIKILI,,,,
275000,ADANA,SEYHAN,MIDIK,77451-960,I_K,500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SEYHAN,,,,
285000,IZMIR,KEMALPASA,85. YIL CUMHURIYET,116899-43,M_A,1410,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,KEMALPASA,180,,830,
1190000,DENIZLI,MERKEZEFENDI,SIRINKOY,96319-218,I_K,800,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MERKEZEFENDI,,,,
310000,ISPARTA,MERKEZ,YEDISEHITLER,67358-241,I_K,398,BILINMIYOR,MUSTAKIL PARSEL,EVET,EVET,ISPARTA,815,1084,675,
100000,IZMIR,URLA,DEMIRCILI,9173-9919,TARLA,500,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,URLA,,107,6,
750000,ISTANBUL,BEYKOZ,ELMALI,49688-673,BAHCE,672,,MUSTAKIL PARSEL,,HAYIR,BEYKOZ,,121,9,
550000,BALIKESIR,AYVALIK,KUCUKKOY,42916-1557,ZEYTINLIK,12200,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,AYVALIK,,,,
460000,BALIKESIR,BURHANIYE,OGRETMENLER,25768-1558,I_K,284,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,BURHANIYE,1620,0,0,
93000,ADANA,POZANTI,YENIKONACIK,79298-422,M_A,549,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,POZANTI,,,,
1400000,ELAZIG,MERKEZ,HICRET,91825-787,I_K,1907,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ELAZIG,750,4969,2,
60000,BALIKESIR,BURHANIYE,DUTLUCA,118003-22,ZEYTINLIK,437,,MUSTAKIL PARSEL,,HAYIR,,,1,1,
2150000,ISTANBUL,AVCILAR,MUSTAFA KEMAL PASA,49474-836,I_K,310,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,AVCILAR,,,,
3750000,IZMIR,GUZELBAHCE,YALI,118903-42,K_T,396,,MUSTAKIL PARSEL,HAYIR,HAYIR,GUZELBAHCE,,,,20000.0
140000,AYDIN,DIDIM,AK - YENIKOY,79168-676,I_K,500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,DIDIM,,1222,11,
560000,IZMIR,URLA,DENIZLI,34418-1013,I_K,252,,MUSTAKIL PARSEL,,HAYIR,URLA,,1,1,
255000,BALIKESIR,EDREMIT,ZEYTINLI,84104-1355,ZEYTINLIK,1150,,,,HAYIR,,,,,
4000000,MUGLA,MILAS,DORTTEPE,32811-2575,TARLA,47711,,,,HAYIR,MILAS,84,,,
