,FIYAT,METREKARE,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL,ARSA_TIPI_BAG,ARSA_TIPI_BAHCE,ARSA_TIPI_CIFTLIK,ARSA_TIPI_D_A_I,ARSA_TIPI_HASTANE,ARSA_TIPI_I_K,ARSA_TIPI_I_S,ARSA_TIPI_I_T,ARSA_TIPI_K_T,ARSA_TIPI_M_A,ARSA_TIPI_OKUL,ARSA_TIPI_OZEL_K,ARSA_TIPI_S_A,ARSA_TIPI_TARLA,ARSA_TIPI_T_A,ARSA_TIPI_T_K,ARSA_TIPI_ZEYTINLIK
64,12.429212196836383,5.8664680569332965,6.4457198193855785,2.4849066497880004,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,13.269057756555132,8.954156966583772,6.247946158032702,4.49609909093373,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12.80765263256463,7.824046010856292,10.04489241335609,6.025261926691273,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,14.343193298796688,7.824046010856292,10.04489241335609,6.025261926691273,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,12.721885810807203,8.070906088787819,4.605170185988092,5.026071102226095,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,11.77528972943772,7.635303886259415,4.127134385045092,3.258096538021482,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,14.73180128983843,9.230142999272362,2.6390573296152584,5.4680601411351315,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,11.77528972943772,7.51479976048867,6.247946158032702,5.420534999272286,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12.449018824140563,7.539027055823995,4.74493212836325,4.584967478670572,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,12.429216196844383,8.517193191416238,9.31574411527111,6.299332139229576,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,14.914122846632385,9.093806555720231,4.672828834461906,4.578141513600172,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,13.458835614025542,5.703782474656201,7.75491027202143,1.791759469228055,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,13.567049198665774,6.4457198193855785,5.931360623038277,2.662587827025453,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,13.9108207377686,8.536995818712418,3.6635616461296463,2.5032557884561966,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,11.042921835724492,7.824046010856292,3.2188758248682006,6.272877006546167,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,13.304684934198283,7.7142311448490855,3.8066624897703196,4.49609909093373,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,12.928778628331663,8.160518247477505,4.787491742782046,5.690955461096447,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,13.864300722133706,6.9957661563048505,6.247946158032702,4.49609909093373,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,14.007782445611397,8.016317898503415,5.991464547107982,4.204692619390966,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,14.343193298796688,7.824046010856292,10.04489241335609,6.025261926691273,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,10.404262840448617,6.214608098422191,8.255343980952324,5.696923992106789,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,13.017002861746503,6.848005274576363,5.278114659230517,1.0986122886681098,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,11.225243392518447,6.214608098422191,8.255343980952324,5.696923992106789,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,14.22097566607244,8.626764827845529,6.247946158032702,4.49609909093373,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,12.80765263256463,8.897272113133987,6.247946158032702,1.0986122886681098,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,11.27720313144916,5.521460917862246,8.90271470991255,6.43532446407879,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,13.9108207377686,9.035986984831405,5.936216072877503,5.081404364984463,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,15.068273526459642,9.267287652417933,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,13.955272500339433,6.586171654854675,4.795790545596741,4.49609909093373,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,14.994165554305921,9.581903928408666,8.81383500523949,6.635946555686647,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,14.115615150414612,8.760139370026627,3.7612001156935624,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,12.180754837545884,7.438383530044307,5.733610927701591,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,11.918390573078392,5.393627546352362,7.090632237067791,3.5938817254916566,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,13.217673557208654,7.843064016692054,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,11.429543856031177,6.507277712385012,6.749150248805499,6.2358103060727945,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,13.652991628466498,9.495519314209846,4.174387269895637,3.5553480614894135,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,13.337474757021274,6.576469569048224,6.856461984594587,1.791759469228055,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,10.950806546816688,6.620073206530356,5.891367930569697,5.250176991220101,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,12.468436909997665,6.907755278982137,8.911474227849284,2.5649493574615367,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
