,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
193,298000,VAN,EDREMIT,EMINPASA,I_K,1352,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,1,0,0,1,0
194,170000,KIRKLARELI,LULEBURGAZ,DUGUNCUBASI,I_K,2050,MUSTAKIL PARSEL,243.0,557.6,1,0,0,0,1,1,0,0
195,55000,ADANA,POZANTI,YENIKONACIK,M_A,365,MUSTAKIL PARSEL,3780.0,7.5,0,0,1,0,1,0,1,0
196,430000,MALATYA,BATTALGAZI,YARIMCAHAN,BAHCE,10130,MUSTAKIL PARSEL,516.95,141.0,0,0,1,0,1,0,1,0
197,725000,ANKARA,ETIMESGUT,SEYH SAMIL,I_K,2430,MUSTAKIL PARSEL,300.0,431.0,0,0,1,0,1,0,1,0
201,56000,ADANA,POZANTI,YENIKONACIK,I_K,400,MUSTAKIL PARSEL,516.95,288.86206896551727,0,0,1,0,1,0,1,0
202,485000,BALIKESIR,AYVALIK,KUCUKKOY,I_K,604,MUSTAKIL PARSEL,800.0,89.66666666666667,0,0,1,1,0,0,1,0
203,215000,ADANA,SEYHAN,MIDIK,I_K,360,MUSTAKIL PARSEL,2356.1459999999997,45.391304347826086,0,0,1,0,1,0,1,0
204,65000,IZMIR,BORNOVA,YAKAKOY,BAHCE,400,MUSTAKIL PARSEL,516.95,288.86206896551727,1,0,0,0,1,1,0,0
205,650000,MUGLA,MILAS,BOGAZICI,I_K,500,MUSTAKIL PARSEL,3848.1353333333336,297.949494949495,1,0,0,0,1,1,0,0
208,2000,MUGLA,BODRUM,KIZILAGAC,BAG,6500,MUSTAKIL PARSEL,10511.235294117647,235.78947368421052,1,0,0,0,1,1,0,0
209,720000,KOCAELI,DILOVASI,TEPECIK,TARLA,4200,MUSTAKIL PARSEL,171.0,1.0,0,0,1,0,1,0,1,0
210,700000,KOCAELI,KARAMURSEL,FULACIK,BAHCE,4985,MUSTAKIL PARSEL,140.0,4.0,1,0,0,0,1,0,1,0
211,500000,ESKISEHIR,TEPEBASI,FEVZICAKMAK,M_A,1070,MUSTAKIL PARSEL,327.0,1.0,0,1,0,0,1,0,1,0
212,112000,TEKIRDAG,SARAY,YUVALI,BAG,3400,HISSELI TAPU,33.0,826.0,1,0,0,0,1,1,0,0
213,600000,BURDUR,CAVDIR,SOGUT (PAZAR),TARLA,6850,MUSTAKIL PARSEL,70.0,89.66666666666667,0,0,1,0,1,0,1,0
215,1500000,YALOVA,CINARCIK,KOCADERE (KOCADERE),BAHCE,6500,MUSTAKIL PARSEL,10511.235294117647,235.78947368421052,1,0,0,0,1,1,0,0
216,85000,ANKARA,ETIMESGUT,SEHITALI,TARLA,550,BILINMIYOR,163.0,322.05555555555554,0,1,0,0,1,1,0,0
217,300000,IZMIR,KEMALPASA,75 YIL CUMHURIYET,TARLA,814,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
219,755000,BURSA,OSMANGAZI,YENICEABAT,TARLA,1215,HISSELI TAPU,516.95,89.66666666666667,0,1,0,0,1,0,1,0
222,1050000,ISTANBUL,SILIVRI,SANCAKTEPE,I_K,951,MUSTAKIL PARSEL,516.95,1.0,0,1,0,0,1,1,0,0
223,1600000,KOCAELI,KARTEPE,ESME,I_K,2100,MUSTAKIL PARSEL,557.25,44.0,0,0,1,0,1,0,1,0
227,250000,MUGLA,MENTESE,ZEYTIN,TARLA,613,MUSTAKIL PARSEL,12.0,1.0,1,0,0,0,1,0,0,1
228,135000,ANKARA,GOLBASI,OYACA YESILCAM,OZEL_K,1000,HISSELI TAPU,109.0,31.0,0,1,0,0,1,0,1,0
