FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
150000,KONYA,MERAM,GODENE,69350-322,TARLA,1537,HISSELI TAPU,MERAM,90.0,,,,0,0,1,0,1,1,0,0
530000,BALIKESIR,AYVALIK,KUCUKKOY,102235-55,I_K,391,MUSTAKIL PARSEL,AYVALIK,,,,,0,0,1,0,1,0,1,0
150000,CANKIRI,ATKARACALAR,KIRAN,71312-351,TARLA,2779,MUSTAKIL PARSEL,ATKARACALAR,,274.0,65.0,,0,0,0,1,0,0,1,0
416000,MUGLA,DALAMAN,SOGUTLUYURT,34925-4759,I_K,530,MUSTAKIL PARSEL,DALAMAN,,,,,0,0,1,0,1,0,1,0
560000,MUGLA,ULA,KIZILAGAC,98129-73,I_K,1000,MUSTAKIL PARSEL,ULA,,260.0,76.0,,0,0,1,0,1,0,0,1
1174000,TEKIRDAG,SARKOY,SENKOY,89861-459,TARLA,39144,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
1160000,MALATYA,BATTALGAZI,KARAKAS CIFTLIGI,110592-57,CIFTLIK,29000,MUSTAKIL PARSEL,BATTALGAZI,40000.0,,,,0,0,0,0,1,1,0,0
65000,TOKAT,MERKEZ,SONGUT,89213-293,TARLA,510,MUSTAKIL PARSEL,,,106.0,304.0,,0,0,1,0,1,0,1,0
6500000,MUGLA,DALAMAN,ALTINTAS,110093-180,I_K,5158,,,,,,,0,0,0,0,1,0,0,0
290000,KONYA,MERAM,HATIP,93628-112,BAG,2204,,,,,,,0,0,0,0,1,0,0,0
1350000,IZMIR,FOCA,FEVZI CAKMAK,87919-404,TARLA,14835,,,,,,,0,0,0,0,1,0,0,0
36500,MUGLA,MILAS,KAYADERE,54899-2964,TARLA,1600,MUSTAKIL PARSEL,MILAS,,,,,0,0,1,0,1,0,0,1
650000,TEKIRDAG,SARKOY,ERIKLICE,89861-442,TARLA,5511,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
120000,BURSA,BUYUKORHAN,KINIK,0-33767995,TARLA,438,MUSTAKIL PARSEL,BUYUKORHAN,,,2803.0,,0,1,0,0,1,0,1,0
164900,CANAKKALE,GELIBOLU,ILGARDERE,115456-32,TARLA,9750,,,,,,,0,0,0,1,0,0,0,0
16650000,ANTALYA,DOSEMEALTI,AOSB 1. KISIM,90534-409,I_T,25000,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
13000,BALIKESIR,BIGADIC,KARGIN,88712-325,BAG,3177,MUSTAKIL PARSEL,BIGADIC,4.0,142.0,68.0,,0,1,0,0,1,0,0,1
131500,BALIKESIR,BANDIRMA,EDINCIK,13692-2325,TARLA,1350,,EDINCIK,,,,,0,0,0,0,1,0,0,0
250000,TEKIRDAG,SULEYMANPASA,ALTINOVA,86568-717,I_K,254,,,,,,,0,0,0,0,1,0,0,0
230000,DUZCE,MERKEZ,YAYLA,105404-55,BAHCE,150,MUSTAKIL PARSEL,DUZCE BELEDIYESI,363.0,,,,0,0,1,0,1,0,0,1
