FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI
275000,Canakkale,LapsekI,YenIcekOy,78920-273,Tarla,1657,Uygun,MUstakIl Parsel,Hayır,Hayır,LAPSEKI BELEDIYESI,,135,2,
160000,Bursa,InegOl,Akıncılar,115360-23,Tarla,5000,,MUstakIl Parsel,,Hayır,INEGOL,32000,120,6,
145000,KırklarelI,PınarhIsar,EvcIler,120157-33,Tarla,1815,Uygun,MUstakIl Parsel,Evet,Evet,PINARHISAR,,113,70,
46000,Hatay,AltınOzU,Enek,73297-3041,ZeytInlIk,1012,BIlInmIyor,BIlInmIyor,Evet,Hayır,AltınOzU,39,303,58,
495000,MuGla,MIlas,BoGazICI,89944-281,Imarlı - Konut,600,Uygun,MUstakIl Parsel,Hayır,Hayır,mIlas,,1,1,
315000,MuGla,MIlas,Kayadere,120926-1,Tarla,20000,,,,Hayır,,,,,
150000,MuGla,MenteSe,Algı,100049-72,Tarla,4360,,,,Hayır,,,,,
144500,Canakkale,LapsekI,Cardak (GazIyakupbey),120086-34,Imarlı - Konut,289,,,Evet,Hayır,,,342,280,
143000,Konya,Meram,Botsa,68123-1609,BahCe,636,Uygun,MUstakIl Parsel,Hayır,Hayır,MERAM,,0,0,
235000,Ordu,Unye,YUceler,108991-140,Imarlı - Konut,445,,,,Hayır,,,,,
3400000,IzmIr,DIkIlI,BademlI,57699-1737,ZeytInlIk,7900,Uygun,MUstakIl Parsel,Hayır,Hayır,DIKILI,400,260,2,
7900,Ankara,Polatlı,Kargalı,111966-120,Tarla,230,,,,Evet,,,,,
330000,BalıkesIr,EdremIt,GUre,110800-159,Imarlı - Konut,354,Uygun,MUstakIl Parsel,Hayır,Hayır,EDREMIT,,765,1,
995000,IzmIr,Menemen,Yayla,60356-675,Tarla,7600,Uygun,MUstakIl Parsel,Hayır,Hayır,,,,,
325000,KayserI,BUnyan,KOprUbaSı,113783-164,Tarla,26600,,,,Hayır,,,,,
325000,Antalya,Elmalı,Bayralar,109095-70,Tarla,3700,,,,Hayır,ELMALI BELEDIYESI,,,,
1800000,TekIrdaG,Saray,Cayla,83231-3130,Tarla,1800,,,,Hayır,,,,,
6440000,Hatay,Iskenderun,BUyUkdere,78396-296,Imarlı - Konut,3220,Uygun,MUstakIl Parsel,Hayır,Hayır,Arsuz,,,,
